chunk_id,parent_doc_id,chunk_text,chunk_order,page_ref
MOSPI-M10_CH0088,MOSPI-M10,"70

25 Release Calendar

-
26 Frequency of Dissemination

Monthly
27 Data Access

https://data.rbi.org.in/#/dbie/reports/Publ
ication/Time-
Series%20Publications/Monthly%20RBI%20B
ulletin/Money%20and%20Banking
(Home > Publication > Time-Series
Publications > Monthly RBI Bulletin > Money
and Banking)
28 Documentation on methodology https://data.rbi.org.in/#/dbie/reports/Publ
ication/Time-
Series%20Publications/Monthly%20RBI%20B
ulletin/Notes%20on%20Tables
29 Quality documentation -
30 Quality assurance -
31 Sampling Error Information -
32 Measures of Reliability -
33 Timeliness -
34 Comparability over Time -
35 Coherence with Other Data Sources -
36 Source Data Type Macro-aggregate
37 Frequency of Data Collection

-
38 Mode and method of data collection
method
-
39 Data validation -
40 Data compilation -
41 Data identifier(s) -
42 Metadata last posted -
43 Metadata Last Updated -",88,70
MOSPI-M10_CH0089,MOSPI-M10,"71

4.1.24: Performance of Non-Government Non-Financial
Private Limited Companies
1 Contact Organization Data Management and Dissemination
Division, Department of Statistics and
Information Management
2 Compiling agency Data Management and Dissemination
Division, Department of Statistics and
Information Management
3 Custodian agency Reserve Bank of India
4 Name of Organisation Reserve Bank of India
5 Author Name (if different from
Organization name)
-
6 Disseminating Agency (if different
from (4) and (5))
-
7 Contact Person (Name &
Designation)
Director, Data Management and
Dissemination Division , Department of
Statistics and Information Management,
Reserve Bank of India
8 Postal Address -
9 Email Address dbie@rbi.org.in
10 Contact Number -
11 Fax Number -
12 Data description Corporate Sector
13 System of Classification Different aggregations available
14 International/ National Standards
Classification etc.
-
15 Sector coverage -
16 Concepts and definitions Growth Rates of the Select Items (Net sales,
Value of production, Total income,
Manufacturing expenses, Remuneration to
employees, Operating expenses, Operating
profit, Depreciation provision, Gross profit
(EBIT), Interest expenses Profit before tax and
non-operating surplus/ deficit, Profit before
tax, Profit after tax, Dividend paid, Profit
retained, Gross saving, Gross value added,
Net value added, Net worth, Non -current
liabilities, Total borrowings, Borrowings from
banks, Non -current borrowings, Curr ent
liabilities, Non -current assets, Gross fixed
assets, Net fixed assets, Current assets,
Inventories, Total gross assets, Total net
assets); Select Financial Ratios (Capital
Structure Ratios, Liquidity Ratios, Assets
utilization and turnover ratios, Sour ces and
uses of funds ratios, Expenditure ratios,",89,71
MOSPI-M10_CH0090,MOSPI-M10,"72

Profitability and Profit Allocation Ratios);
Items related to Profit and Loss, Assets and
Liabilities, Sources and Funds; Growth rates
and financial ratios are available at
aggregation based on industry.
17 Unit of Compilation Units: Growth rate, ratio in Per cent, Amount
in Rupees Crore
18 Population Coverage

-
19 Reference Period

-
20 Duration & Period of Enumeration

-
21 Sample Size / Dataset Size -
22 Data Confidentiality -
23 Legal Acts and Other Agreements -
24 Data Sharing / Dissemination
Practices

PDF; MS Excel
25 Release Calendar

-
26 Frequency of Dissemination

Annually
27 Data Access

https://data.rbi.org.in/#/dbie/reports/Stati
stics/Corporate%20Sector/Non-
Government%20Non-
Financial%20Private%20Limited%20Compani
es (Home →Statistics → Corporate Sector)
28 Documentation on methodology -
29 Quality documentation -
30 Quality assurance -
31 Sampling Error Information -
32 Measures of Reliability -
33 Timeliness About 9 months lag after MCA forwards all
phases (4) of data.
34 Comparability over Time -
35 Coherence with Other Data Sources -
36 Source Data Type Multiple Data Sources
37 Frequency of Data Collection

-
38 Mode and method of data collection
method
-
39 Data validation -
40 Data compilation -
41 Data identifier(s) -
42 Metadata last posted -",90,72
MOSPI-M10_CH0091,MOSPI-M10,"73

43 Metadata Last Updated -",91,73
MOSPI-M10_CH0092,MOSPI-M10,"74

4.1.25: List of Primary (Urban) Co-operative Banks’ Outlook
Tables
1 Contact Organization Data Management and Dissemination
Division, Department of Statistics and
Information Management
2 Compiling agency Data Management and Dissemination
Division, Department of Statistics and
Information Management
3 Custodian agency Reserve Bank of India
4 Name of Organisation Reserve Bank of India
5 Author Name (if different from
Organization name)
-
6 Disseminating Agency (if different
from (4) and (5))
-
7 Contact Person (Name &
Designation)
Director, Data Management and
Dissemination Division , Department of
Statistics and Information Management,
Reserve Bank of India
8 Postal Address -
9 Email Address dbie@rbi.org.in
10 Contact Number -
11 Fax Number -
12 Data description Financial Sector-Banking Sector
13 System of Classification Different aggregations available
14 International/ National Standards
Classification etc.
-
15 Sector coverage -
16 Concepts and definitions Variables related to Balance Sheet, Profit and
Loss Account, Advances to Priority Sector and
Weaker Section, Non -Performing Assets,
Distribution of UCBs based on size of
Deposits, Advances, Tier 1 & Tier 2, UCBs
Ratings, State, Union Territory and Region;
Bank-wise Balance sheet, Profit and Loss
Account, for Scheduled Co -Operative Banks.
Select Financial Indicators of UCBs (Return on
Assets, Return on Equity, Net Interest
Margin); CRAR, Average Cost of Depos its,
Average Yield on Advances, Net Int Inc to Tot
Assets (Spread), Net Int Inc to Working Fund,
Non-Int Inc to Working Fund, Business per
Employee, Profit per Employee).
17 Unit of Compilation Units: Amount in Rupees Crore
18 Population Coverage

-",92,74
MOSPI-M10_CH0093,MOSPI-M10,"75

19 Reference Period

-
20 Duration & Period of Enumeration

-
21 Sample Size / Dataset Size -
22 Data Confidentiality -
23 Legal Acts and Other Agreements -
24 Data Sharing / Dissemination
Practices

PDF; MS Excel
25 Release Calendar

-
26 Frequency of Dissemination

Annually
27 Data Access

https://data.rbi.org.in/#/dbie/reports/Publ
ication/Time-
Series%20Publications/Primary%20%28Urba
n%29%20Co-operative%20Banks'%20Outlook
(Home > Publication > Time-Series
Publications > Primary (Urban) Co-operative
Banks' Outlook)
28 Documentation on methodology -
29 Quality documentation -
30 Quality assurance -
31 Sampling Error Information -
32 Measures of Reliability -
33 Timeliness -
34 Comparability over Time -
35 Coherence with Other Data Sources -
36 Source Data Type Multiple Data Sources
37 Frequency of Data Collection

-
38 Mode and method of data collection
method
-
39 Data validation -
40 Data compilation -
41 Data identifier(s) -
42 Metadata last posted -
43 Metadata Last Updated -",93,75
MOSPI-M10_CH0094,MOSPI-M10,"76

4.1.26: Performance of Non-Government Non-Financial
Public Limited Companies
1 Contact Organization Data Management and Dissemination
Division, Department of Statistics and
Information Management
2 Compiling agency Data Management and Dissemination
Division, Department of Statistics and
Information Management
3 Custodian agency Reserve Bank of India
4 Name of Organisation Reserve Bank of India
5 Author Name (if different from
Organization name)
-
6 Disseminating Agency (if different
from (4) and (5))
-
7 Contact Person (Name &
Designation)
Director, Data Management and
Dissemination Division , Department of
Statistics and Information Management,
Reserve Bank of India
8 Postal Address -
9 Email Address dbie@rbi.org.in
10 Contact Number -
11 Fax Number -
12 Data description Corporate Sector
13 System of Classification Different aggregations available
14 International/ National Standards
Classification etc.
-
15 Sector coverage -
16 Concepts and definitions Growth Rates of the Select Items (Net sales,
Value of production, Total income,
Manufacturing expenses, Remuneration to
employees, Operating expenses, Operating
profit, Depreciation provision, Gross profit
(EBIT), Interest expenses Profit before tax and
non-operating surplus/ deficit, Profit before
tax, Profit after tax, Dividend paid, Profit
retained, Gross saving, Gross value added,
Net value added, Net worth, Non -current
liabilities, Total borrowings, Borrowings from
banks, Non -current borrowings, Curr ent
liabilities, Non -current assets, Gross fixed
assets, Net fixed assets, Current assets,
Inventories, Total gross assets, Total net
assets); Select Financial Ratios (Capital
Structure Ratios, Liquidity Ratios, Assets
utilization and turnover ratios, Sour ces and
uses of funds ratios, Expenditure ratios,",94,76
MOSPI-M10_CH0095,MOSPI-M10,"77

Profitability and Profit Allocation Ratios);
Items related to Profit and Loss, Assets and
Liabilities, Sources and Funds; Growth rates
and financial ratios are available at
aggregation based on sales, paid up capital,
and industry.
17 Unit of Compilation Units: Growth rate, ratio in Per cent, Amount
in Rupees Crore
18 Population Coverage

-
19 Reference Period

-
20 Duration & Period of Enumeration

-
21 Sample Size / Dataset Size -
22 Data Confidentiality -
23 Legal Acts and Other Agreements -
24 Data Sharing / Dissemination
Practices

PDF; MS Excel
25 Release Calendar

-
26 Frequency of Dissemination

Annually
27 Data Access

https://data.rbi.org.in/#/dbie/reports/Stati
stics/Corporate%20Sector/Non-
Government%20Non-
Financial%20Public%20Limited%20Compani
es (Home →Statistics → Corporate Sector)
28 Documentation on methodology https://data.rbi.org.in/#/dbie/reports/Stati
stics/Corporate%20Sector/Non-
Government%20Non-
Financial%20Public%20Limited%20Compani
es
29 Quality documentation -
30 Quality assurance -
31 Sampling Error Information -
32 Measures of Reliability -
33 Timeliness About 9 months lag after MCA forwards all phases
(4) of data.
34 Comparability over Time -
35 Coherence with Other Data Sources -
36 Source Data Type Multiple Data Sources
37 Frequency of Data Collection

-
38 Mode and method of data collection
method
-",95,77
MOSPI-M10_CH0096,MOSPI-M10,"78

39 Data validation -
40 Data compilation -
41 Data identifier(s) -
42 Metadata last posted -
43 Metadata Last Updated -",96,78
MOSPI-M10_CH0097,MOSPI-M10,"79

4.1.27: Performance of Listed Non-Government Non-
Financial Companies
1 Contact Organization Data Management and Dissemination
Division, Department of Statistics and
Information Management
2 Compiling agency Data Management and Dissemination
Division, Department of Statistics and
Information Management
3 Custodian agency Reserve Bank of India
4 Name of Organisation Reserve Bank of India
5 Author Name (if different from
Organization name)
-
6 Disseminating Agency (if different
from (4) and (5))
-
7 Contact Person (Name &
Designation)
Director, Data Management and
Dissemination Division , Department of
Statistics and Information Management,
Reserve Bank of India
8 Postal Address -
9 Email Address dbie@rbi.org.in
10 Contact Number -
11 Fax Number -
12 Data description Corporate Sector
13 System of Classification Different aggregations available
14 International/ National Standards
Classification etc.
-
15 Sector coverage -
16 Concepts and definitions No. of Companies; Sales; Value of Production;
Expenditure, of which Raw Material, Staff
Cost, Power & fuel; Operating Profits; Other
Income; EBITDA; Depreciation; Gross Profits
(EBIT); Interest; EBT (before NOP); Tax
Provision; Net Profits; Cost of Raw Ma terials
to Sales; Staff Cost to Sales; Interest Burden;
Tax Provisions to EBT; Other Income to Net
Profit; Cash Coverage Ratio(times); Interest
Coverage(times); Interest to Sales; Operating
Profits to Sales; EBITDA to Sales; EBIT to Sales;
Net Profit to Sales (select variables according
to sector, size of paid -up capital, size sales,
industry)
17 Unit of Compilation Units: Amount in Rupees Crore, Growth
Rate/Ratio in Per cent
18 Population Coverage

-",97,79
MOSPI-M10_CH0098,MOSPI-M10,"80

19 Reference Period

-
20 Duration & Period of Enumeration

-
21 Sample Size / Dataset Size -
22 Data Confidentiality -
23 Legal Acts and Other Agreements -
24 Data Sharing / Dissemination
Practices

PDF; MS Excel
25 Release Calendar

-
26 Frequency of Dissemination

Quarterly
27 Data Access

https://data.rbi.org.in/#/dbie/reports/Stati
stics/Corporate%20Sector/Listed%20Non-
Government%20Non-
Financial%20Companies (Home →Statistics
→ Corporate Sector)
28 Documentation on methodology -
29 Quality documentation -
30 Quality assurance -
31 Sampling Error Information -
32 Measures of Reliability -
33 Timeliness -
34 Comparability over Time -
35 Coherence with Other Data Sources -
36 Source Data Type Multiple Data Sources
37 Frequency of Data Collection

-
38 Mode and method of data collection
method
-
39 Data validation -
40 Data compilation -
41 Data identifier(s) -
42 Metadata last posted -
43 Metadata Last Updated -",98,80
MOSPI-M10_CH0099,MOSPI-M10,"81

4.1.28: Payment Settlement Data
1 Contact Organization Data Management and Dissemination
Division, Department of Statistics and
Information Management
2 Compiling agency Data Management and Dissemination
Division, Department of Statistics and
Information Management
3 Custodian agency Reserve Bank of India
4 Name of Organisation Reserve Bank of India
5 Author Name (if different from
Organization name)
-
6 Disseminating Agency (if different
from (4) and (5))
-
7 Contact Person (Name &
Designation)
Director, Data Management and
Dissemination Division , Department of
Statistics and Information Management,
Reserve Bank of India
8 Postal Address -
9 Email Address dbie@rbi.org.in
10 Contact Number -
11 Fax Number -
12 Data description Financial Sector-Payment Systems
13 System of Classification All India
14 International/ National Standards
Classification etc.
-
15 Sector coverage -
16 Concepts and definitions Payment Transactions (RBI Operated (Real -
time Gross Settlement (RTGS), National
Electronic Fund Transfer (NEFT); National
Payments Corporation of India (NPCI)
Operated (Aadhaar Enabled Payment System
(AePS),Unified Payments Interface
(UPI),Immediate Paymen t Service
(IMPS),National Automated Clearing House
(NACH ),National Electronic Toll Collection
(NETC),Bharat Bill Payment System (BBPS));
Card Network Operated (Credit Card, Debit
Card, Prepaid Payment Instruments Card));
Cash Withdrawal (NPCI Operated (Na tional
Financial Switch (through ATMs)), AePS
(through micro ATMs/Business
Correspondents)); Settlement Systems
(Clearing Corporation of India Limited
Operated (Government Securities Clearing;
Forex Clearing; Rupee Derivatives))
17 Unit of Compilation Units: Volume in lakh, Value in Rupees Crore",99,81
MOSPI-M10_CH0100,MOSPI-M10,"82

18 Population Coverage

-
19 Reference Period

-
20 Duration & Period of Enumeration

-
21 Sample Size / Dataset Size -
22 Data Confidentiality -
23 Legal Acts and Other Agreements -
24 Data Sharing / Dissemination
Practices

PDF; MS Excel
25 Release Calendar

-
26 Frequency of Dissemination

Monthly
27 Data Access

https://data.rbi.org.in/#/dbie/reports/Statistics
/Financial%20Sector/Payment%20Systems
28 Documentation on methodology https://data.rbi.org.in/BOE/OpenDocument/24
09211840/OpenDocument/opendoc/openDocum
ent.jsp?logonSuccessful=true&shareId=5
29 Quality documentation -
30 Quality assurance -
31 Sampling Error Information -
32 Measures of Reliability -
33 Timeliness -
34 Comparability over Time -
35 Coherence with Other Data Sources -
36 Source Data Type Multiple Data Sources
37 Frequency of Data Collection

-
38 Mode and method of data collection
method
-
39 Data validation -
40 Data compilation Compiled from various sources
41 Data identifier(s) -
42 Metadata last posted -
43 Metadata Last Updated -",100,82
MOSPI-M10_CH0101,MOSPI-M10,"83

4.1.29: State Co-operative Banks Maintaining Accounts with
the RBI
1 Contact Organization Data Management and Dissemination
Division, Department of Statistics and
Information Management
2 Compiling agency Data Management and Dissemination
Division, Department of Statistics and
Information Management
3 Custodian agency Reserve Bank of India
4 Name of Organisation Reserve Bank of India
5 Author Name (if different from
Organization name)
-
6 Disseminating Agency (if different
from (4) and (5))
-
7 Contact Person (Name &
Designation)
Director, Data Management and
Dissemination Division , Department of
Statistics and Information Management,
Reserve Bank of India
8 Postal Address -
9 Email Address dbie@rbi.org.in
10 Contact Number -
11 Fax Number -
12 Data description Financial Sector-Banking Sector
13 System of Classification All India
14 International/ National Standards
Classification etc.
-
15 Sector coverage -
16 Concepts and definitions Number of Reporting Banks, Aggregate
Deposits, Demand and Time Liabilities,
Borrowing from Reserve Bank, Borrowings
from a notified bank / State Government,
Cash in Hand and Balances with Reserve
Bank, Balances with Other Banks in Current
Account, Investme nts in Government
Securities, Money at Call and Short Notice,
Bank Credit, Advances, Bills Purchased and
Discounted
17 Unit of Compilation Units: Rupees Crore
18 Population Coverage

-
19 Reference Period

-
20 Duration & Period of Enumeration

-
21 Sample Size / Dataset Size -",101,83
MOSPI-M10_CH0102,MOSPI-M10,"84

22 Data Confidentiality -
23 Legal Acts and Other Agreements -
24 Data Sharing / Dissemination
Practices

PDF; MS Excel
25 Release Calendar

-
26 Frequency of Dissemination

Biweekly
27 Data Access

https://data.rbi.org.in/#/dbie/reports/Statistics
/Financial%20Sector/Banking%20-%20Assets%20
&%20Liabilities
(Home > Statistics > Financial Sector >
Banking - Assets & Liabilities)
28 Documentation on methodology -
29 Quality documentation -
30 Quality assurance -
31 Sampling Error Information -
32 Measures of Reliability -
33 Timeliness -
34 Comparability over Time -
35 Coherence with Other Data Sources -
36 Source Data Type Based on regulatory reporting
37 Frequency of Data Collection

-
38 Mode and method of data collection
method
-
39 Data validation -
40 Data compilation -
41 Data identifier(s) -
42 Metadata last posted -
43 Metadata Last Updated -",102,84
MOSPI-M10_CH0103,MOSPI-M10,"85

4.1.30: Payment Indicators
1 Contact Organization Data Management and Dissemination
Division, Department of Statistics and
Information Management
2 Compiling agency Data Management and Dissemination
Division, Department of Statistics and
Information Management
3 Custodian agency Reserve Bank of India
4 Name of Organisation Reserve Bank of India
5 Author Name (if different from
Organization name)
-
6 Disseminating Agency (if different
from (4) and (5))
-
7 Contact Person (Name &
Designation)
Director, Data Management and
Dissemination Division , Department of
Statistics and Information Management,
Reserve Bank of India
8 Postal Address -
9 Email Address dbie@rbi.org.in
10 Contact Number -
11 Fax Number -
12 Data description Financial Sector-Payment Systems
13 System of Classification All India
14 International/ National Standards
Classification etc.
-
15 Sector coverage -
16 Concepts and definitions Settlement Systems (Financial Market
Infrastructures (FMIs) -CCIL Operated
Systems); Payment Systems (Financial Market
Infrastructures (FMIs) -Credit Transfers -
RTGS, Credit Transfers - Retail, Debit
Transfers and Direct Debits, Card Payments,
Prepaid Payme nt Instruments, Paper -based
Instruments); Other Payment Channels;
ATMs; Payment System Infrastructure
17 Unit of Compilation Unit: Volume in Lakh; Value in Rupees Crore
18 Population Coverage

-
19 Reference Period

-
20 Duration & Period of Enumeration

-
21 Sample Size / Dataset Size -
22 Data Confidentiality -
23 Legal Acts and Other Agreements -",103,85
MOSPI-M10_CH0104,MOSPI-M10,"86

24 Data Sharing / Dissemination
Practices

PDF; MS Excel
25 Release Calendar

-
26 Frequency of Dissemination

Annual
27 Data Access

https://data.rbi.org.in/DBIE/#/dbie/reports/P
ublication/Time-
Series%20Publications/Handbook%20of%20Statis
tics%20on%20the%20Indian%20Economy/PART
%20I%20:%20ANNUAL%20SERIES/MONEY%20
AND%20BANKING
(Home > Publication > Time-Series
Publications > Handbook of Statistics on the
Indian Economy > Part I : Annual Series >
Money and Banking)
28 Documentation on methodology -
29 Quality documentation -
30 Quality assurance -
31 Sampling Error Information -
32 Measures of Reliability -
33 Timeliness -
34 Comparability over Time -
35 Coherence with Other Data Sources -
36 Source Data Type Multiple Data Sources
37 Frequency of Data Collection

-
38 Mode and method of data collection
method
-
39 Data validation -
40 Data compilation Compiled from various sources
41 Data identifier(s) -
42 Metadata last posted -
43 Metadata Last Updated -",104,86
MOSPI-M10_CH0105,MOSPI-M10,"87

4.1.31: Notes and Coins in Circulation
1 Contact Organization Data Management and Dissemination
Division, Department of Statistics and
Information Management
2 Compiling agency Data Management and Dissemination
Division, Department of Statistics and
Information Management
3 Custodian agency Reserve Bank of India
4 Name of Organisation Reserve Bank of India
5 Author Name (if different from
Organization name)
-
6 Disseminating Agency (if different
from (4) and (5))
-
7 Contact Person (Name &
Designation)
Director, Data Management and
Dissemination Division , Department of
Statistics and Information Management,
Reserve Bank of India
8 Postal Address -
9 Email Address dbie@rbi.org.in
10 Contact Number -
11 Fax Number -
12 Data description Financial Sector-Monetary Statistics
13 System of Classification All India
14 International/ National Standards
Classification etc.
-
15 Sector coverage -
16 Concepts and definitions Small Coins, Re. 1 Notes, Rs. 1 Coins, Rs. 2
Coins, Rs. 5 Coins, Rs. 10 Coins, Rs. 20 Coins,
Rs. 2 Notes, Rs. 5 Notes, Rs. 10 Notes, Rs. 20
Notes, Rs. 50 Notes, Rs. 100 Notes, Rs. 200
Notes, Rs. 500 Notes, Rs. 1000 Notes, Rs. 2000
Notes [Rupees Crore]
17 Unit of Compilation Unit: Rupees
18 Population Coverage

-
19 Reference Period

-
20 Duration & Period of Enumeration

-
21 Sample Size / Dataset Size -
22 Data Confidentiality -
23 Legal Acts and Other Agreements -
24 Data Sharing / Dissemination
Practices

PDF; MS Excel",105,87
MOSPI-M10_CH0106,MOSPI-M10,"88

25 Release Calendar

-
26 Frequency of Dissemination

Annually
27 Data Access

https://data.rbi.org.in/#/dbie/reports/Publ
ication/Time-
Series%20Publications/Handbook%20of%20S
tatistics%20on%20the%20Indian%20Economy
/PART%20I%20:%20ANNUAL%20SERIES/
CURRENCY%20AND%20COINAGE (Home
> Publication > Time-Series Publications >
Handbook of Statistics on the Indian
Economy > Part I : Annual Series > Currency
and Coinage)
28 Documentation on methodology -
29 Quality documentation -
30 Quality assurance -
31 Sampling Error Information -
32 Measures of Reliability -
33 Timeliness -
34 Comparability over Time -
35 Coherence with Other Data Sources -
36 Source Data Type Based on data from RBI's Core Banking
Solution
37 Frequency of Data Collection

-
38 Mode and method of data collection
method
-
39 Data validation -
40 Data compilation -
41 Data identifier(s) -
42 Metadata last posted -
43 Metadata Last Updated -",106,88
MOSPI-M10_CH0107,MOSPI-M10,"89

4.1.32: Bank wise ATM/POS/Card Statistics
1 Contact Organization Data Management and Dissemination
Division, Department of Statistics and
Information Management
2 Compiling agency Data Management and Dissemination
Division, Department of Statistics and
Information Management
3 Custodian agency Reserve Bank of India
4 Name of Organisation Reserve Bank of India
5 Author Name (if different from
Organization name)
-
6 Disseminating Agency (if different
from (4) and (5))
-
7 Contact Person (Name &
Designation)
Director, Data Management and
Dissemination Division , Department of
Statistics and Information Management,
Reserve Bank of India
8 Postal Address -
9 Email Address dbie@rbi.org.in
10 Contact Number -
11 Fax Number -
12 Data description Financial Sector-Payment Systems
13 System of Classification All India
14 International/ National Standards
Classification etc.
-
15 Sector coverage -
16 Concepts and definitions Payment Transactions using Debit Cards,
Credit Cards, PoS and ATMs (Volume in
Actuals and Value in Thousands)
17 Unit of Compilation Unit: Volume in Actuals and Value in
Thousands
18 Population Coverage

-
19 Reference Period

-
20 Duration & Period of Enumeration

-
21 Sample Size / Dataset Size -
22 Data Confidentiality -
23 Legal Acts and Other Agreements -
24 Data Sharing / Dissemination
Practices

PDF; MS Excel
25 Release Calendar

-",107,89
MOSPI-M10_CH0108,MOSPI-M10,"90

26 Frequency of Dissemination

Monthly
27 Data Access

https://www.rbi.org.in/Scripts/Statistics.aspx
(Statistics→Data Releases)
28 Documentation on methodology -
29 Quality documentation -
30 Quality assurance -
31 Sampling Error Information -
32 Measures of Reliability -
33 Timeliness -
34 Comparability over Time -
35 Coherence with Other Data Sources -
36 Source Data Type Multiple Data Sources
37 Frequency of Data Collection

-
38 Mode and method of data collection
method
-
39 Data validation -
40 Data compilation Compiled from Commercial Banks
41 Data identifier(s) -
42 Metadata last posted -
43 Metadata Last Updated -",108,90
MOSPI-M10_CH0109,MOSPI-M10,"91

4.1.33: Currency Chests/Repositories and Small Coin
Depots - All India
1 Contact Organization Data Management and Dissemination
Division, Department of Statistics and
Information Management
2 Compiling agency Data Management and Dissemination
Division, Department of Statistics and
Information Management
3 Custodian agency Reserve Bank of India
4 Name of Organisation Reserve Bank of India
5 Author Name (if different from
Organization name)
-
6 Disseminating Agency (if different
from (4) and (5))
-
7 Contact Person (Name &
Designation)
Director, Data Management and
Dissemination Division , Department of
Statistics and Information Management,
Reserve Bank of India
8 Postal Address -
9 Email Address dbie@rbi.org.in
10 Contact Number -
11 Fax Number -
12 Data description Financial Sector -Statistics on the Indian
Economy
13 System of Classification All India
14 International/ National Standards
Classification etc.
-
15 Sector coverage -
16 Concepts and definitions Total No. of Currency Chests, Total
Repositories, Total Small Coin Depots/Sub -
depots
17 Unit of Compilation Unit: Number in Actuals
18 Population Coverage

-
19 Reference Period

-
20 Duration & Period of Enumeration

-
21 Sample Size / Dataset Size -
22 Data Confidentiality -
23 Legal Acts and Other Agreements -
24 Data Sharing / Dissemination
Practices

PDF; MS Excel",109,91
MOSPI-M10_CH0110,MOSPI-M10,"92

25 Release Calendar

-
26 Frequency of Dissemination

Annually
27 Data Access

https://data.rbi.org.in/#/dbie/reports/Publicati
on/Time-
Series%20Publications/Handbook%20of%20Statis
tics%20on%20the%20Indian%20Economy/PART
%20I%20:%20ANNUAL%20SERIES/CURRENCY
%20AND%20COINAGE (Home > Publication
> Time-Series Publications > Handbook of
Statistics on the Indian Economy > Part I :
Annual Series > Currency And Coinage)
28 Documentation on methodology https://data.rbi.org.in/#/dbie/reports/Publicati
on/Time-
Series%20Publications/Handbook%20of%20Statis
tics%20on%20the%20Indian%20Economy/Notes
%20on%20Tables/Notes%20on%20Tables
29 Quality documentation -
30 Quality assurance -
31 Sampling Error Information -
32 Measures of Reliability -
33 Timeliness -
34 Comparability over Time -
35 Coherence with Other Data Sources -
36 Source Data Type Based on Administrative Data
37 Frequency of Data Collection

-
38 Mode and method of data collection
method
-
39 Data validation -
40 Data compilation -
41 Data identifier(s) -
42 Metadata last posted -
43 Metadata Last Updated -",110,92
MOSPI-M10_CH0111,MOSPI-M10,"93

4.1.34: State-Wise and Region-Wise Deployment Of ATMs
1 Contact Organization Data Management and Dissemination
Division, Department of Statistics and
Information Management
2 Compiling agency Data Management and Dissemination
Division, Department of Statistics and
Information Management
3 Custodian agency Reserve Bank of India
4 Name of Organisation Reserve Bank of India
5 Author Name (if different from
Organization name)
-
6 Disseminating Agency (if different
from (4) and (5))
-
7 Contact Person (Name &
Designation)
Director, Data Management and
Dissemination Division , Department of
Statistics and Information Management,
Reserve Bank of India
8 Postal Address -
9 Email Address dbie@rbi.org.in
10 Contact Number -
11 Fax Number -
12 Data description Financial Sector-Payment Systems
13 System of Classification All India
14 International/ National Standards
Classification etc.
-
15 Sector coverage -
16 Concepts and definitions Outstanding number of ATMs, Cash Recycle
Machines & White Label ATMs as on end of
quarter (In Actuals)
17 Unit of Compilation Unit: Number in Actuals
18 Population Coverage

-
19 Reference Period

-
20 Duration & Period of Enumeration

-
21 Sample Size / Dataset Size -
22 Data Confidentiality -
23 Legal Acts and Other Agreements -
24 Data Sharing / Dissemination
Practices

PDF; MS Excel
25 Release Calendar

-",111,93
MOSPI-M10_CH0112,MOSPI-M10,"94

26 Frequency of Dissemination

Quarterly
27 Data Access

https://www.rbi.org.in/Scripts/StateRegionAT
MView.aspx

28 Documentation on methodology -
29 Quality documentation -
30 Quality assurance -
31 Sampling Error Information -
32 Measures of Reliability -
33 Timeliness -
34 Comparability over Time -
35 Coherence with Other Data Sources -
36 Source Data Type Multiple Data Sources
37 Frequency of Data Collection

-
38 Mode and method of data collection
method
-
39 Data validation -
40 Data compilation Compiled from various sources
41 Data identifier(s) -
42 Metadata last posted -
43 Metadata Last Updated -",112,94
MOSPI-M10_CH0113,MOSPI-M10,"95

4.1.35: Bank-wise Mobile Banking Transactions Statistics
1 Contact Organization Data Management and Dissemination
Division, Department of Statistics and
Information Management
2 Compiling agency Data Management and Dissemination
Division, Department of Statistics and
Information Management
3 Custodian agency Reserve Bank of India
4 Name of Organisation Reserve Bank of India
5 Author Name (if different from
Organization name)
-
6 Disseminating Agency (if different
from (4) and (5))
-
7 Contact Person (Name &
Designation)
Director, Data Management and
Dissemination Division , Department of
Statistics and Information Management,
Reserve Bank of India
8 Postal Address -
9 Email Address dbie@rbi.org.in
10 Contact Number -
11 Fax Number -
12 Data description Financial Sector-Payment Systems
13 System of Classification All India
14 International/ National Standards
Classification etc.
-
15 Sector coverage -
16 Concepts and definitions Payment Transactions using Mobile Banking
(Volume in actuals and value in Thousands)
17 Unit of Compilation Unit: Volume in actuals and value in
Thousands
18 Population Coverage

-
19 Reference Period

-
20 Duration & Period of Enumeration

-
21 Sample Size / Dataset Size -
22 Data Confidentiality -
23 Legal Acts and Other Agreements -
24 Data Sharing / Dissemination
Practices

PDF; MS Excel
25 Release Calendar

-",113,95
MOSPI-M10_CH0114,MOSPI-M10,"96

26 Frequency of Dissemination

Monthly
27 Data Access

https://www.rbi.org.in/Scripts/NEFTView.
aspx
Home > Data Releases
28 Documentation on methodology -
29 Quality documentation -
30 Quality assurance -
31 Sampling Error Information -
32 Measures of Reliability -
33 Timeliness -
34 Comparability over Time -
35 Coherence with Other Data Sources -
36 Source Data Type Multiple Data Sources
37 Frequency of Data Collection

-
38 Mode and method of data collection
method
-
39 Data validation -
40 Data compilation Compiled from Commercial Banks
41 Data identifier(s) -
42 Metadata last posted -
43 Metadata Last Updated -",114,96
